nombre,email,telefono,peso,altura
Samuel Martinez,mumbai1867@duck.com,+34 912 15 84 45,40,1.73
Inés Pastor,rough1890@live.com,958 977 920,38,1.82
Hilario Ruiz,percentage1951@outlook.com,946.326.681,78,1.71
Iker Menendez,engineers1855@protonmail.com,+34 919 93 05 64,41,1.70
Leticia Velasco,moses1879@gmail.com,+34 915 84 00 76,53,1.94
Ignacio Perez,jan1896@live.com,994 854 811,54,1.64
Isidro Prieto,blanket1902@protonmail.com,997091006,82,1.83
Mireia Ruiz,sites1968@live.com,907.737.201,81,1.84
Nicolas Garrido,terrorism1851@gmail.com,901256757,62,1.97
Triana Ibanez,cycle2060@outlook.com,936 903 893,38,1.75
Yesenia Martinez,scotia1813@duck.com,994 537 111,89,1.90
Emma Cano,struggle1982@live.com,+34 914 09 93 14,71,1.84
Matthew Pascual,citysearch2076@protonmail.com,950793932,66,1.90
Rafael Martinez,vegetables1969@gmail.com,970-331-297,84,1.92
Rafa Gimenez,valued1993@yandex.com,968.759.419,63,1.69
Tania Dominguez,pot1853@yahoo.com,991851138,56,1.98
dani Ramirez,explanation1929@example.org,972596269,69,1.89
Angel Arias,sitting2057@yandex.com,950 436 752,39,1.82
Úrsula Menendez,core1988@duck.com,918636144,55,1.58
Belén Castillo,howto2030@protonmail.com,+34 913 31 56 69,52,1.51
Mónica Cabrera,kinase1865@yandex.com,907-131-159,72,1.54
Frisco Diez,sheep1814@outlook.com,+34 912 45 06 31,84,1.86
First names Ortiz,respond2084@example.com,+34 912 24 15 56,64,1.83
Leticia Velasco,asks1909@example.org,970314333,79,1.68
Juan Felipe Campos,sue1827@protonmail.com,+34 917 91 39 06,84,1.77
Facundo Pastor,galaxy1906@example.org,935-181-200,84,1.72
Fulca Rodriguez,unity1897@outlook.com,963-416-880,82,1.99
Emilia Cortes,generator1870@duck.com,958-829-902,67,1.93
Juan Esteban Bravo,restriction2089@yandex.com,927 511 716,72,1.84
Carolina Ramirez,packets2061@yahoo.com,987-967-862,82,1.61
Mauricio Cano,apartments2016@yahoo.com,939.096.202,51,1.79
Damián Pascual,likes2061@gmail.com,990-403-914,71,1.59
Purificación Soto,these1879@gmail.com,930631235,39,1.99
Jesús Mendez,freedom1856@gmail.com,959 864 401,72,1.85
Emilia Blanco,azerbaijan2099@outlook.com,978 780 264,69,1.86
Josué Vicente,buyer1972@gmail.com,+34 919 08 98 22,80,1.55
Juan Felipe Ortega,con1909@example.org,917.425.378,47,1.59
Alodia Lorenzo,plasma2080@yandex.com,952 328 300,78,1.69
